TIMESTAMP,P_a,e_a,T_a,cov_Ts_Uz,cov_h2o_Uz
2016-08-02 08:00:00,83.93673000000001,1.328,19.60334,0.15760510000000003,0.04702781
2016-08-02 08:30:00,83.93054000000001,1.3319999999999999,20.807029999999997,0.1858932,0.05942522
2016-08-02 09:00:00,83.89703,1.337,21.13053,0.2593528,0.06863225
2016-08-02 09:30:00,83.85414,1.38,21.95168,0.22014029999999998,0.05306099
2016-08-02 10:00:00,83.79607,1.3869999999999998,22.73783,0.27028759999999996,0.07847619
2016-08-02 10:30:00,83.73335,1.37,23.594739999999998,0.1800764,0.07749205
2016-08-02 11:00:00,83.6889,1.36,24.38074,0.2937795,0.08629717
2016-08-02 11:30:00,83.64743,1.301,25.19235,0.1102902,0.03964394
2016-08-02 12:00:00,83.60081,1.2930000000000001,25.4045,0.15788229999999998,0.0691449
2016-08-02 12:30:00,83.56854,1.246,26.05704,0.1768708,0.07028703
2016-08-02 13:00:00,83.5458,1.2109999999999999,26.31308,0.1974241,0.08952734
2016-08-02 13:30:00,83.53764,1.284,26.04397,0.12626310000000002,0.02622551
2016-08-02 14:00:00,83.54437,1.338,25.379189999999998,0.0979483,0.05251958
2016-08-02 14:30:00,83.54706999999999,1.327,24.87925,0.009314291,0.02876348
2016-08-02 15:00:00,83.55858,1.3159999999999998,24.6002,0.001071278,0.02340942
2016-08-02 15:30:00,83.56564,1.272,24.20371,-0.007750709000000001,0.02161558
2016-08-02 16:00:00,83.58372,1.238,23.60365,-0.02033184,0.01823085
2016-08-02 16:30:00,83.6428,1.232,22.918210000000002,0.009182394,0.0152174
2016-08-02 17:00:00,83.73859,1.245,22.53477,-0.01112681,-0.1755223
2016-08-02 17:30:00,83.75166,1.291,21.73479,-0.01196694,0.10901179999999999
2016-08-02 18:00:00,83.77601999999999,1.357,20.919420000000002,-0.01132924,0.01236263
2016-08-02 18:30:00,83.79985,1.4069999999999998,20.42793,-0.0035722329999999997,0.004238246
2016-08-02 19:00:00,83.82382,1.39,20.56883,-0.003742766,0.006156329
2016-08-02 19:30:00,83.82159,1.4,20.50756,-0.003834993,0.007322863000000001
2016-08-02 20:00:00,83.82495,1.5190000000000001,19.13414,0.005541675,-0.001480728
2016-08-02 20:30:00,83.82776,1.61,18.29539,-0.008901655999999999,0.008008771
2016-08-02 21:00:00,83.81277,1.626,17.81089,-0.01048079,0.006781621
2016-08-02 21:30:00,83.79656999999999,1.62,17.83406,-0.005747655,0.006218695
2016-08-02 22:00:00,83.79735,1.663,17.87756,0.00169865,0.0035117679999999997
2016-08-02 22:30:00,83.77225,1.473,17.90904,-0.005087554,0.03867328
2016-08-02 23:00:00,83.74424,1.2890000000000001,17.08995,-0.006941814,0.005985829
2016-08-02 23:30:00,83.71762,1.238,17.06295,0.0003875084,0.0001580492
2016-08-03 00:00:00,83.69516,1.169,16.80252,-0.01119481,0.01366502
2016-08-03 00:30:00,83.69264,1.125,16.25526,-0.03848181,0.0126334
2016-08-03 01:00:00,83.68974,1.125,15.52682,0.002664309,0.0031209690000000003
2016-08-03 01:30:00,83.69100999999999,1.136,15.05846,0.003696933,-0.001475374
2016-08-03 02:00:00,83.70267,1.1540000000000001,14.58941,-0.002841704,0.00140227
2016-08-03 02:30:00,83.73289,1.146,14.59579,-0.02103222,0.009831114
2016-08-03 03:00:00,83.72849000000001,1.146,14.44461,0.0003990773,-0.0004691007
2016-08-03 03:30:00,83.75203,1.159,14.344029999999998,-0.005730965,0.001976773
